"RECORDID","NIDIDFULL","NIDID","DAM_NAME","OTHER_DAM_NAME","OTHERSTRUCTUREID","LATITUDE","LONGITUDE","LOC_FLAG","STATE","COUNTY","RIVER","COMID","GNIS_NAME","FTYPE","STRM_ORDR","STATUSFLAG","HUC_2","HUC_12","MTRL","PRMRY_MTRL","CORE_MTRL","FND_MTRL","CNST_TYPE","HYD_HT","DAM_HT","STR_HT","MAX_HT","DAM_LEN","DAM_VOL","GATE","NUM_LOCKS","LOCKS","SPLLWYCONT","DISTTOSUB","CAP_MWA","GEN_MWHA","CF_A","REG_FERC","DLYSOLGEN","DLYWINDGEN","MULTI_PRPS","PRPS_PRMRY","PRPS_GEN","HYD_HD_A","FED_OP","FED_OP_OWN","MAX_STRG","NORM_STRG","MAX_DISCHA","UM_DAM_CT","UMDAMCTLEN","TOTUDAM_CT","DM_DAM_CT","TOTMSDAMCT","DISTTOUDAM","DISTTODDAM","PERCDISUS","DMDAMCTLEN","OWNER_TYPE","OWNER_GEN","FEDOWNNAME","HUC12_POP","CULTURE","RCRTN","AGE","MOD_AGE","FEMA_HZRD","HH_DAM_CT","FED_REG","PLTCLPRTY","NERCREG","NERCSUBREG","FFSHDLYTRP","CTDVBTRMP","CTUDVBTRMP","CTFISHCOLD","CTFISHSALT","CTWWPAD","DOM_WD","Q_EROM","MNANNAVGQ","MAXDLYQ","MINDLYQ","PERC10Q","PERC20Q","PERC30Q","PERC40Q","PERC50Q","PERC60Q","PERC70Q","PERC80Q","PERC90Q","DRNG_AREA","W_AREA","C_AREA","W_ELEV","C_ELEV","SRFC_AREA","W_RUNOFF","C_RUNOFF","W_HYDREG","C_HYDREG","W_HYDCON","C_HYDCON","DAM_STRG","W_HPRECIP","C_HPRECIP","W_HMNTEMP","C_HMNTEMP","W_HMAXTEMP","C_HMAXTEMP","W_HMINTEMP","C_HMINTEMP","CLIM_PRES","CLIM_PRESD","CLIM_FUT","CLIM_FUTD","ECOREGION","CTOCNSTRG","CTINLDSTRG","CTOCNCLPD","CTOCNEEL","CTOCNSALM","CTINLDSALM","CTOTRINLD","FISHPSSREQ","PROT_MGMT","PROT_TYPE","PROTSTATUS","ACCESS","BIODIV_LIM","WSR","CERADENS","W_IMPERV","C_IMPERV","W_RDDENS","C_RDDENS","W_HIURBAN","C_HIURBAN","W_CROP","C_CROP","W_WETLD","C_WETLD","W_FOREST","C_FOREST","NPDESDENSW","NPDESDENSC","TRI_DENSW","TRI_DENSC","SF_DENSW","SF_DENSC","IMP303DTOT","IMP303DBIO","IMP303DNUT","IMP303D_T","IMP303DPH","IMP303DSED","IMP303D","W_CHEMREG","C_CHEMREG","W_SEDREG","C_SEDREG","AGN_RUNOFF","AGP_RUNOFF","AG_RUNOFF","AG_EROSION","LITH","MMI_10PCT","W_CLAY","C_CLAY","W_SAND","C_SAND","W_OM","C_OM","W_PERM","C_PERM","W_RCKDEP","C_RCKDEP","W_KF","C_KF","Owner","Federally Regulated","Owner Type","Potential Capacity (MW)","Distance to Substation (km)","Community","Environmental","Grid","Industry","Batteries","H2 Feasibility","PSH Feasibility","Critical Habitat","Protected Land","Impaired Stream","Retail Price of Electricity (cents/kWh)","Wholesale Price of Electricity ($/MWh)","Financial Incentives","Regulatory Policies"
122,"AL00017","AL00017","BIG CREEK LAKE","-99999","-99999",30.71298735,-88.32668344,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","MOBILE","BIG CREEK",18095217,"Big Creek","ArtificialPath",3,"-99999",3,31700080502,"Earth","Earth","-99999","-99999","-99999",17.0688,-99999,22.86,22.86,1524,-99999,"Some type of gate/control structure reported",0,"No locks","-99999",2.29760603104003,2.753773587,6431.462186,26.66105829,"Dam likely would fall under FERC regulatory authority",4.18892000585,1200000,"Multiple purposes","Recreation","Storage",16.002,"No federal agency involved in operation","No federal agency involved in operation",168370020,129515400,991.08963072,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Local government","Other","-99999",16910.6572372,"-99999","Dam serves some recreational purpose",69,69,"High",0,"Dam is not under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",18638.8140888,-99999,-99999,1,-99999,-99999,1.251389,212,6.239763,162.9501,0.1343112,14.50531,9.341685,6.828647,4.981557,3.525117,2.494163,1.70622,1.146588,0.685391,-99999,269.9541,0.3231,60.98005,34.6493,-99999,720.1078,717,0.9578958,0.9333761,0.9773386,0.9328213,0.0929517973843,1652.513,1679.442,19.2284,19.2624,25.16226,25.16219,3.495508,4.369638,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","NORTHERN FORESTS",1,0,0,0,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.550946950912,7.032504,4,3.755481,4.584741,0.04134036,0,1.345562,0,11.96003,3.064067,43.64575,21.72702,0,0,0,0,0,0,31.7561458225,0,0,0,0,0,"Dam is located on a stream listed as impaired",0.9355288,0.9224302,0.9571995,0.9272819,4.63437450773,3.80947093923,293.895462232,2.84147393126,"Sand",3.811,14.79874,14.19,54.07919,56.13,0.7629016,0.77,12.60816,13.63,152.4,152.4,0.1612271,0.16,"MOBILE WATER BOARD CITY","NO","LOCAL GOVERNMENT","2.75","2.3","0.19","0.27","0.25","0.07","LOW","LOW","LOW","NO","NO","YES","9.84","44.65","5","0"
907,"AL00977","AL00977","LAKE CATOMA DAM","LAKE CATOMA","-99999",34.18496668,-86.80578231,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","CULLMAN","EIGHT MILE CREEK",18589254,"Eightmile Creek","ArtificialPath",3,"-99999",3,31601090104,"Rockfill-Earth","Rockfill","-99999","-99999","-99999",27.432,-99999,30.48,30.48,548.64,-99999,"Some type of gate/control structure reported",0,"No locks","-99999",1.7477080968373,1.094330623,2555.818697,26.66105829,"Dam likely would fall under FERC regulatory authority",3.9880700004,1200000,"Multiple purposes","Recreation","Storage",21.336,"No federal agency involved in operation","No federal agency involved in operation",26396472,18526869.6,1001.28369549312,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Local government","Other","-99999",9159.9041842,"-99999","Dam serves some recreational purpose",55,55,"High",5,"Dam is not under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",12417.8378391,-99999,-99999,-99999,-99999,-99999,0.723012,63,1.750115,47.76242,0.007735366,4.45967,3.093926,2.208476,1.550128,1.004688,0.5283861,0.1788188,0.037654,0.02132925,-99999,78.8616,1.6038,275.4221,238.0239,-99999,650.6683,650,0.9058748,0.9281157,0.951509,0.9458857,9104.99702546,1491.721,1502.723,15.37336,15.61536,21.44003,21.72999,-0.7830195,-0.9,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","-99999",0,1,0,0,0,0,0,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.810533583164,6.913033,7.486928,2.230303,5.32501,0.1072765,0.3928171,3.438556,0.05611672,0.1643385,0.3367003,33.25116,33.38945,0,0,0,0,0,0,31.6912001131,0,0,0,0,0,"Dam is located on a stream listed as impaired",0.9033906,0.9106569,0.95079,0.9400993,56.537992016,16.7158726791,592.29372185,50.1306786324,"Sandstone",5.027,25.66646,25.65,35.41079,35.42,0.7075219,0.71,4.922832,4.92,84.90602,84.84,0.2398917,0.24,"CULLMAN CITY OF","NO","LOCAL GOVERNMENT","1.09","1.75","0.17","0.26","0.25","0.08","LOW","LOW","LOW","NO","NO","YES","9.84","44.65","5","0"
1041,"AL01137","AL01137","LAKE TUSCALOOSA DAM","NORTH RIVER WATER SUPPLY DAM","-99999",33.26678962,-87.50606997,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","TUSCALOOSA","NORTH RIVER",18229825,"North River","ArtificialPath",5,"-99999",3,31601120413,"Earth","Earth","-99999","-99999","-99999",35.6616,-99999,38.1,38.1,390.144,-99999,"Some type of gate/control structure reported",0,"No locks","-99999",2.15623550164001,19.73122797,46082.4547,26.66105829,"Dam likely would fall under FERC regulatory authority",4.14785000318,1200000,"Multiple purposes","Recreation","Storage",26.67,"No federal agency involved in operation","No federal agency involved in operation",222026400,160352400,1415.8423296,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Local government","Other","-99999",7901.99869612,"-99999","Dam serves some recreational purpose",50,50,"High",5,"Dam is not under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",7817.44032192,6,-99999,1,-99999,-99999,0.545238,703,19.0876,528.8856,0.1016102,48.34154,28.69982,19.24571,12.56569,7.814016,4.676402,2.620658,1.422881,0.6531392,-99999,1095.96,7.9371,129.6323,93.08632,-99999,663.0605,664,0.9708906,0.9546077,0.9770888,0.9601044,58827.9846961,1426.362,1338.42,16.62298,17.26951,23.32781,23.94408,-0.7484686,0.0018823,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,1,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.20061789453,6.357702,7.574293,1.356078,4.258489,0.02307567,0.2834789,0.1697416,0.02267831,4.178009,0.4989228,67.96293,37.74804,0,0,0.0009124423,0,0,0,47.8838696557,0,0,0,0,0,"Dam is located on a stream listed as impaired",0.9424787,0.9262631,0.9689635,0.954243,2.47501318321,0.522299986917,290.363019889,0.408092190139,"-99999",5.076,24.71581,23.51929,35.69133,35.88188,0.3871555,0.3891654,5.461016,6.201424,117.9028,116.5234,0.2834581,0.2797766,"","NO","LOCAL GOVERNMENT","19.73","2.16","0.18","0.22","0.25","0.08","LOW","LOW","LOW","NO","NO","YES","9.84","44.65","5","0"
1127,"AL01256","AL01256","BAYVIEW LAKE","-99999","-99999",33.57352068,-86.98717131,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","JEFFERSON","VILLAGE CREEK",18566549,"Village Creek","ArtificialPath",3,"-99999",3,31601110408,"-99999","-99999","-99999","-99999","Gravity",27.432,-99999,30.48,30.48,167.64,-99999,"Some type of gate/control structure reported",0,"No locks","-99999",4.28541285532343,2.98357045,6968.154761,26.66105829,"Dam likely would fall under FERC regulatory authority",4.0199300074,1200000,"Single purpose","Water Supply","Storage",21.336,"No federal agency involved in operation","No federal agency involved in operation",17515416,15788544,2208.714034176,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Public Utility","Public Utility","-99999",90449.3637072,"-99999","Dam has no recreational purposes reported",111,111,"High",3,"Dam is not under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",17724.0006313,-99999,-99999,-99999,-99999,-99999,7.778645,143,4.104417,92.9894,0.09998501,10.14942,6.342116,4.413923,3.041311,2.1286,1.435406,0.8799544,0.5697352,0.3439659,-99999,179.3763,3.0717,191.8929,169.5431,-99999,619.4967,617,0.9516949,0.9914957,0.9284684,0.9946905,4675.99657121,1427.378,1440.598,17.0279,16.98322,23.09579,23.29547,0.1424732,-0.001845883,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,0,0,1,0,0,0,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.362415730953,7.389595,7.323077,9.809509,0.6037093,7.396629,0,0.03361648,0,0.5413759,0.2929974,26.40951,73.54234,0.02229949,0,0.262019,0,0.06689847,0,26.4634432479,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.8935246,0.9550968,0.9291376,0.9780213,1.05016857376,0.734575197429,192.203793133,0.401055173346,"-99999",5.015,33.44239,25.98624,23.05757,30.58691,0.5423154,0.5799502,3.235619,4.026047,100.9762,88.40288,0.2498358,0.3086874,"","NO","PUBLIC UTILITY","2.98","4.29","0.23","0.31","0.25","0.08","LOW","LOW","LOW","NO","NO","NO","9.84","44.65","5","0"
1262,"AL01429","AL01429","A.I.SELDEN","WARRIOR LAKE","-99999",32.77891215,-87.84084137,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","HALE","BLACK WARRIOR RIVER",18215736,"Black Warrior River","ArtificialPath",6,"-99999",3,31601130607,"-99999","-99999","-99999","-99999","Gravity",19.812,-99999,21.6408,21.6408,208.4832,288237.235,"Some type of gate/control structure reported",1,"Dam includes at least one lock","Controlled spillway",6.7666143857813,50.95915164,119015.5423,26.66105829,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.24894998854,1200000,"Multiple purposes","Navigation","Navigation",15.14856,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",72343602,60563868,1523.4463466496,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,"Federal","Federal","USACE",834.983973122,"-99999","Dam serves some recreational purpose",63,63,"Significant",1,"Dam is under federal regulatory authority","D","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",5909.59933853,6,-99999,1,-99999,-99999,0.068295,9749,268.7429,2910.698,3.429956,663.4017,463.9507,328.1413,227.2839,157.0719,106.2249,68.78316,38.50857,17.45704,15047.84,15055.09,17.874,168.6443,39.7409,31.56551,644.1294,652,0.9627145,0.9613567,0.9714626,0.9725421,19110.9984085,1434.114,1398.577,16.47813,17.56091,22.91237,24.0055,-0.5521934,0.6568882,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,1,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.182140141726,6.862936,6.659794,2.03262,0.9887371,0.4081032,0.06545821,0.5738624,0,4.435189,43.42397,59.59036,31.143,0.001660568,0,0.01640641,0,0.002789754,0,0,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.9339446,0.9440648,0.9648978,0.9724473,2.94440184196,1.50018290052,157.249683793,0.487790219753,"-99999",5.174,25.66064,30.07215,33.97716,33.51041,0.5126315,0.6256564,5.308457,5.618952,105.0745,146.7572,0.2704352,0.2810126,"USACE - MOBILE DISTRICT","YES","FEDERAL","50.96","6.77","0.2","0.2","0.26","0.08","LOW","LOW","LOW","NO","NO","NO","9.84","44.65","5","0"
1264,"AL01431","AL01431","COFFEEVILLE LOCK AND DAM","COFFEEVILLE LAKE","-99999",31.75747968,-88.12944571,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","CHOCTAW","TOMBIGBEE RIVER",18548516,"Tombigbee River","ArtificialPath",7,"-99999",3,31602010909,"-99999","-99999","-99999","-99999","Gravity",15.8496,-99999,18.288,18.288,438.6072,198784.3,"Some type of gate/control structure reported",1,"Dam includes at least one lock","Controlled spillway",0.359965886006291,241.7081373,564511.459,26.66105829,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.17250003778,1200000,"Multiple purposes","Navigation","Navigation",12.8016,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",235347984,235347984,2010.496108032,6,1,556,0,6,0,0,14.514,0,"Federal","Federal","USACE",34.9638354838,"-99999","Dam serves some recreational purpose",59,59,"Significant",1,"Dam is under federal regulatory authority","D","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",1672.84682417,2,-99999,1,-99999,-99999,0.002197,31041,823.214,6707.182,34.47563,2096.232,1306.524,892.8832,610.7813,417.5392,290.4446,204.2701,147.9918,103.0974,47699.85,47698.5,5.1507,115.1012,18.84741,34.39831,591.1765,503.4351,0.9484233,0.9842589,0.9590886,0.9801855,62171.9773547,1419.217,1370.089,16.86726,18.12581,23.28676,25.32614,-0.09091629,1.395038,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","NORTHERN FORESTS",0,1,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.172000303864,6.625998,3.719149,1.579131,1.783047,0.1885154,0,3.043071,0,13.96711,16.68705,49.30988,49.03023,0.0008805308,0,0.009287504,0,0.001236936,0,0,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.9284755,0.9547831,0.9579975,0.9774676,1.00089573277,0.870617555154,238.731909961,0.135448720071,"-99999",4.095,28.702,30.38053,31.5839,29.12974,0.5961055,1.217517,4.538941,6.02512,133.0257,152.4,0.2884186,0.2173475,"USACE - MOBILE DISTRICT","YES","FEDERAL","241.71","0.36","0.19","0.18","0.32","0.17","MEDIUM","LOW","LOW","NO","NO","NO","9.84","44.65","5","0"
1266,"AL01433","AL01433","GEORGE W ANDREWS LOCK AND DAM","GEORGE W. ANDREWS LAKE","-99999",31.25931868,-85.11107311,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","HOUSTON","CHATTAHOOCHEE RIVER",2310423,"Chattahoochee River","ArtificialPath",7,"-99999",3,31300040702,"-99999","-99999","-99999","-99999","Gravity",13.1064,-99999,17.9832,17.9832,236.22,142207.23,"Some type of gate/control structure reported",1,"Dam includes at least one lock","Controlled spillway",2.17519932834714,55.07925443,128638.0783,26.66105829,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.32355999632,1200000,"Multiple purposes","Navigation","Navigation",12.58824,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",22424666.4,22424666.4,1262.9313580032,15,2,506,1,16,0,73.1107,40.8027,0.4061,"Federal","Federal","USACE",112.177119071,"-99999","Dam serves some recreational purpose",58,58,"Significant",1,"Dam is under federal regulatory authority","D","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",3013.63433456,2,-99999,-99999,-99999,-99999,0.009057,10649,308.0048,3109.257,66.59854,573.3487,421.2664,331.2762,277.3232,237.8078,203.5494,175.3642,147.8281,120.0767,21263.82,21228.42,0.9999,218.5184,35.06176,6.232164,497.4555,454,0.957957,0.9615642,0.9682707,0.9439046,5923.99996901,1318.098,1385.797,16.97103,19.47854,23.36036,25.83221,0.8967536,3.346175,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,0,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.351788192987,7.047812,6.8,2.42595,1.821658,0.8610712,0.090009,3.667343,13.86139,4.737719,0.720072,56.78451,49.32493,0.001790053,0,0.02204592,0,0.00466356,0,0,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.9376618,0.9476178,0.9635793,0.969521,8.30521750323,3.57562189933,137.892936096,0.692171895312,"-99999",3.783,29.1537,22.88578,43.71828,59.13846,0.3744028,0.4756225,6.818114,14.17654,142.187,152.4,0.2248872,0.1782628,"USACE - MOBILE DISTRICT","YES","FEDERAL","55.08","2.18","0.12","0.2","0.24","0.08","LOW","LOW","LOW","NO","NO","NO","9.84","44.65","0","2"
1269,"AL01436","AL01436","CLAIBORNE LOCK AND DAM","CLAIBORNE LAKE","-99999",31.61493388,-87.55163731,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","MONROE","ALABAMA RIVER",18239649,"Alabama River","ArtificialPath",7,"-99999",3,31502040105,"-99999","-99999","-99999","-99999","Gravity",10.668,10.0584,24.384,24.384,777.24,93275.71,"Some type of gate/control structure reported",1,"Dam includes at least one lock","Controlled spillway",6.04542954395381,228.3431331,533297.3753,26.66105829,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.19237001191,1200000,"Multiple purposes","Navigation","Navigation",10.668,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",118858132.8,118858132.8,18844.861406976,11,1,1033,0,11,0,0,20.5718,0,"Federal","Federal","USACE",86.1940226414,"-99999","Dam serves some recreational purpose",50,50,"Significant",2,"Dam is under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",2463.13947392,2,-99999,-99999,-99999,-99999,0.006354,32502,869.7343,5930.086,87.75097,1841.377,1376.167,1046.186,782.9538,604.3697,486.6815,393.2469,312.7269,232.0642,55614.86,55650.8,0.1665,203.7995,8.652216,23.67413,565.2601,529,0.9593212,0.86659,0.9655954,0.8462826,31470.9470758,1370.62,1378.161,16.59991,18.04979,23.00861,25.15747,0.1513048,1.3,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","NORTHERN FORESTS",1,2,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.0736229866743,6.914644,7.714286,1.872088,2.901339,0.28677,0,1.583429,0,6.195059,3.783784,57.29999,1.621622,0.001599258,0,0.01148231,0,0.002821163,0,22.5610527044,0,0,0,0,0,"Dam is located on a stream listed as impaired",0.9389123,0.9027688,0.9650426,0.8879851,2.83499794512,0.807472969042,132.916869161,0.326167043413,"-99999",4.019,30.62894,29.17632,32.04474,36.06762,0.5143227,0.5736757,5.079393,6.295622,129.404,151.6805,0.2791052,0.324973,"USACE - MOBILE DISTRICT","YES","FEDERAL","228.34","6.05","0.15","0.13","0.32","0.16","LOW","LOW","LOW","YES","NO","YES","9.84","44.65","5","0"
1703,"AL01981","AL01981","WILLIAM BACON OLIVER REPLACEMENT","OLIVER","-99999",33.20871222,-87.59254284,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","TUSCALOOSA","BLACK WARRIER",18229923,"Black Warrior River","ArtificialPath",6,"-99999",3,31601130201,"-99999","-99999","-99999","-99999","Gravity",14.9352,-99999,20.4216,20.4216,365.76,207423.7715,"Some type of gate/control structure reported",1,"Dam includes at least one lock","Uncontrolled spillway",1.41603988266293,53.83912747,125741.7509,26.66105829,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.1540999909,1200000,"Multiple purposes","Navigation","Navigation",14.29512,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",17022024,15221143.2,1472.476022784,3,1,133,3,6,0,119.6509,32.9576,0.5421,"Federal","Federal","USACE",8088.14780501,"-99999","Dam serves some recreational purpose",29,29,"Significant",2,"Dam is under federal regulatory authority","D","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",2699.13944626,1,-99999,-99999,-99999,-99999,0.558082,8617,235.5355,2945.707,2.708083,593.5262,407.6582,281.427,195.1266,129.6187,83.44233,50.50716,25.95357,11.49352,12486.34,12498.02,1.4544,187.5102,47.66783,3.197019,642.5994,653.7599,0.9624047,0.9616712,0.971215,0.8491858,58.0012084458,1446.478,1347.415,16.28413,17.51774,22.69399,24.04123,-0.7930904,0.3035272,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,1,0,1,0,0,1,26.67,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.286007791758,6.890529,8.131313,2.137847,7.696039,0.436533,4.517327,0.4674619,0,1.505117,0.06188119,60.75629,2.970297,0.001760278,0.6875688,0.01792283,0,0.002880456,0,0,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.9318937,0.8874236,0.9647785,0.9450708,4.26546793957,1.0627472928,310.441900229,3.72284819373,"-99999",5.123,25.78045,23.75457,32.98491,35.32357,0.5704744,0.2419802,5.159631,6.416269,95.40448,151.5404,0.2718155,0.2996411,"USACE - MOBILE DISTRICT","YES","FEDERAL","53.84","1.42","0.18","0.17","0.26","0.09","LOW","LOW","LOW","NO","NO","NO","9.84","44.65","5","0"
2308,"AL05901","AL05901","BEAR CREEK","BEAR CREEK RESERVOIR","-99999",34.39866661,-87.98793911,"Coordinates based on update from 2012 NPD Resource Assessment","Alabama","FRANKLIN","BEAR CREEK",19568588,"Bear Creek","StreamRiver",4,"-99999",6,60300060105,"Roller-Compacted Concrete-Earth","Roller","Earth","Rock and Soil","-99999",18.8976,20.7264,20.7264,20.7264,422.148,326650.771865,"Some type of gate/control structure reported",0,"No locks","Uncontrolled spillway",11.73535291185,3.627596511,13537.74399,42.60133563,"Dam may not fall under FERC regulatory authority; Owner is a federal agency",4.08952999483,1200000,"Multiple purposes","Flood Control and Storm Water Management","Storage",14.50848,"Federal agency involved in operation","Federal agency owner is same as federal operating entity",48969156,11841408,2067.129801216,2,2,5,4,6,0,133.8926,9.4448,0.1945,"Federal","Federal","TVA",4081.57104592,"-99999","Dam serves some recreational purpose",52,52,"High",3,"Dam is under federal regulatory authority","R","SERC RELIABILITY CORPORATION (SERC)","SOUTHEASTERN",11897.935442,-99999,-99999,-99999,-99999,-99999,0.313848,457,9.783298,247.3286,0.2703771,27.0325,14.84651,9.056552,5.283225,2.969002,1.583152,0.9525841,0.6571509,0.4691104,603.4677,599.193,0.6795,266.1576,190.116,2.792333,651.2066,652,0.945742,0.9571286,0.9737054,0.954042,12390.9969315,1514.631,1485.908,15.64244,15.90921,21.5994,22.0964,-1.392466,-1.378808,"Cfa","Temperate, no dry season, hot summer","Cfa","Temperate, no dry season, hot summer","HUDSON PLAIN",0,0,0,0,0,0,0,7.14,"-99999","-99999","Dam is not on protected land","-99999","Dam is not on protected land","Not in W&S River protected area",0.302699565887,6.712197,7.657143,1.68856,1.110314,0.2144885,0.1324503,0.8555507,0,0.8199528,0.5298013,54.26484,77.48344,0,0,0.01668911,0,0.003337823,0,0.211766478508,0,0,0,0,0,"Dam is located on a reach that is not listed as impaired",0.9237373,0.9334063,0.959827,0.9638358,26.0766808765,7.42109549851,766.074805537,16.323554641,"Limestone",5.258,21.56987,20.75,39.71676,41.86,0.4169384,0.26,7.099525,7.94,118.9237,145.28,0.2571363,0.25,"TVA","YES","FEDERAL","3.63","11.74","0.21","0.18","0.28","0.16","LOW","LOW","LOW","NO","NO","NO","9.84","44.65","5","0"
